id,name,price,selling_price,brand_name,discount_rate,current_seller,quantity_sold,short_url,image
57867023,Cây Lau Nhà Xoay 360 Độ Sunhouse Ks-Mo350I,164000,200000,Sunhouse,18,Tiki Trading,2548,https://tiki.vn/product-p57867023.html?spid=57867025,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/dc/15/9a/13d2e0a0312d887e9b9482258c9e789d.jpg
169978766,"Túi hút chân không đựng quần áo, chăn ga gối , thú bông Deli - Loại dày cao cấp, nhiều hoạ tiết, bảo vệ quần áo, chăn ga khỏi ẩm, nấm mốc, chống nước tuyệt đối",19900,35820,Deli,44,Deli Official Store,3936,https://tiki.vn/product-p169978766.html?spid=169978778,https://salt.tikicdn.com/cache/280x280/ts/product/e2/20/ae/ae39259f935e9564c2291b261c0f5dfa.jpg
99994000,Bình giữ nhiệt có ống hút Lock&Lock Bucket Tumbler with Straw LHC4268,245000,473000,LocknLock,48,Tiki Trading,6076,https://tiki.vn/product-p99994000.html?spid=99994002,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/d4/05/46/b3c751befb4f4974ae7a4a2204b6ab20.jpg
186991942,"Bộ Áo Mưa Có Dây Khóa Kéo Vải Dù Da Cá Tổ Ong KOJMAC GDA218 Raincoat Fashion - Hàng Chính Hãng ( Loại Chui Một Đầu 1 Người Lớn Bít Kín Không Xẻ Tà, Thời Trang Măng Tô Cho Nam Nữ, Chống Nước Đi Mưa Tản Bộ Xe Máy )",99001,160125,KOJMAC,38,Chuẩn Mua,777,https://tiki.vn/product-p186991942.html?spid=143607852,https://salt.tikicdn.com/cache/280x280/ts/product/be/ec/9a/9ce05523209f2ac96ffa5cf65fecef5d.jpg
73785488,"Bộ 3 nồi inox 4 đáy Nagakawa NAG1306 (16cm, 20cm, 24cm) - Quai mạ vàng - Dùng trên mọi loại bếp - Hàng Chính Hãng",489000,1000000,Nagakawa,51,Tiki Trading,1652,https://tiki.vn/product-p73785488.html?spid=73785489,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/73/5f/50/ee321b595ea1554e26fb36a0e46a60c6.jpg
70656791,giấy ăn gấu trúc Ycool khăn giấy tre 1 thùng 30 gói 300 tờ siêu dai mềm mại,125000,125000,ycool,0,Giấy ycool,13727,https://tiki.vn/product-p70656791.html?spid=70656792,https://salt.tikicdn.com/cache/280x280/ts/product/25/8c/35/d9081d7f2905df3cf4d1700f180b85a3.jpg
52504270,Chiếu Mây Điều Hòa Cao Cấp Loại dày,189000,229000,LIDACO,17,Lidaco Official Store,2402,https://tiki.vn/product-p52504270.html?spid=52504276,https://salt.tikicdn.com/cache/280x280/ts/product/d9/4d/57/371b6eb96dbbcdb178c6eaccbf1994a5.jpg
186627908,"Ghế Gác Chân Công Thái Học Ergonomic Footrest, Ghế Kê Chân Ghế Gác Chân Văn Phòng",189000,280000,OEM,33,Office Chill,1591,https://tiki.vn/product-p186627908.html?spid=186627912,https://salt.tikicdn.com/cache/280x280/ts/product/02/64/5f/363b0e3f6d213f58f8d5ee61bdcd02c1.jpg
194819488,Bình Đựng Nước Giữ Nhiệt Lõi Thủy Tinh MATIKA MTK-HC500 Dung Tích 500ml - Hàng Chính Hãng,28000,52000,Matika,46,Gia Dụng Bình Ngân JSC,181,https://tiki.vn/product-p194819488.html?spid=194819489,https://salt.tikicdn.com/cache/280x280/ts/product/79/e7/77/5e7621beb33e395003e73817a0265101.jpg
84566545,Ổ cắm điện đa năng kết hợp ổ cắm USB Nakagami chất lượng cao công nghệ Nhật Bản - Màu ngẫu nhiên,155000,155000,Nakagami,0,Vạn Tín Store,4408,https://tiki.vn/product-p84566545.html?spid=84566546,https://salt.tikicdn.com/cache/280x280/ts/product/5d/44/7a/df37b4d47bc5d72e0ca6e47f506fb0c8.jpg
